date,weekday,hour,road_type,speed_limit,is_rush_hour,is_school_hour,traffic_level,is_weekend
2026-01-01,3,0,motorway,100,0,0,1,0
2026-01-01,3,0,trunk,80,0,0,1,0
2026-01-01,3,0,primary,60,0,0,3,0
2026-01-01,3,0,secondary,50,0,0,1,0
2026-01-01,3,0,residential,30,0,0,1,0
2026-01-01,3,1,motorway,100,0,0,2,0
2026-01-01,3,1,trunk,80,0,0,1,0
2026-01-01,3,1,primary,60,0,0,1,0
2026-01-01,3,1,secondary,50,0,0,1,0
2026-01-01,3,1,residential,30,0,0,1,0
2026-01-01,3,2,motorway,100,0,0,1,0
2026-01-01,3,2,trunk,80,0,0,2,0
2026-01-01,3,2,primary,60,0,0,1,0
2026-01-01,3,2,secondary,50,0,0,1,0
2026-01-01,3,2,residential,30,0,0,1,0
2026-01-01,3,3,motorway,100,0,0,3,0
2026-01-01,3,3,trunk,80,0,0,1,0
2026-01-01,3,3,primary,60,0,0,1,0
2026-01-01,3,3,secondary,50,0,0,1,0
2026-01-01,3,3,residential,30,0,0,1,0
2026-01-01,3,4,motorway,100,0,0,1,0
2026-01-01,3,4,trunk,80,0,0,1,0
2026-01-01,3,4,primary,60,0,0,1,0
2026-01-01,3,4,secondary,50,0,0,1,0
2026-01-01,3,4,residential,30,0,0,1,0
2026-01-01,3,5,motorway,100,0,0,1,0
2026-01-01,3,5,trunk,80,0,0,1,0
2026-01-01,3,5,primary,60,0,0,1,0
2026-01-01,3,5,secondary,50,0,0,1,0
2026-01-01,3,5,residential,30,0,0,1,0
2026-01-01,3,6,motorway,100,0,0,2,0
2026-01-01,3,6,trunk,80,0,0,2,0
2026-01-01,3,6,primary,60,0,0,2,0
2026-01-01,3,6,secondary,50,0,0,1,0
2026-01-01,3,6,residential,30,0,0,1,0
2026-01-01,3,7,motorway,100,1,1,3,0
2026-01-01,3,7,trunk,80,1,1,2,0
2026-01-01,3,7,primary,60,1,1,2,0
2026-01-01,3,7,secondary,50,1,1,3,0
2026-01-01,3,7,residential,30,1,1,3,0
2026-01-01,3,8,motorway,100,1,1,3,0
2026-01-01,3,8,trunk,80,1,1,2,0
2026-01-01,3,8,primary,60,1,1,2,0
2026-01-01,3,8,secondary,50,1,1,3,0
2026-01-01,3,8,residential,30,1,1,3,0
2026-01-01,3,9,motorway,100,1,0,3,0
2026-01-01,3,9,trunk,80,1,0,3,0
2026-01-01,3,9,primary,60,1,0,3,0
2026-01-01,3,9,secondary,50,1,0,2,0
2026-01-01,3,9,residential,30,1,0,3,0
2026-01-01,3,10,motorway,100,0,0,2,0
2026-01-01,3,10,trunk,80,0,0,3,0
2026-01-01,3,10,primary,60,0,0,2,0
2026-01-01,3,10,secondary,50,0,0,1,0
2026-01-01,3,10,residential,30,0,0,2,0
2026-01-01,3,11,motorway,100,0,0,1,0
2026-01-01,3,11,trunk,80,0,0,2,0
2026-01-01,3,11,primary,60,0,0,3,0
2026-01-01,3,11,secondary,50,0,0,2,0
2026-01-01,3,11,residential,30,0,0,2,0
2026-01-01,3,12,motorway,100,0,0,2,0
2026-01-01,3,12,trunk,80,0,0,2,0
2026-01-01,3,12,primary,60,0,0,2,0
2026-01-01,3,12,secondary,50,0,0,1,0
2026-01-01,3,12,residential,30,0,0,2,0
2026-01-01,3,13,motorway,100,0,1,3,0
2026-01-01,3,13,trunk,80,0,1,2,0
2026-01-01,3,13,primary,60,0,1,1,0
2026-01-01,3,13,secondary,50,0,1,2,0
2026-01-01,3,13,residential,30,0,1,1,0
2026-01-01,3,14,motorway,100,0,1,2,0
2026-01-01,3,14,trunk,80,0,1,2,0
2026-01-01,3,14,primary,60,0,1,2,0
2026-01-01,3,14,secondary,50,0,1,2,0
2026-01-01,3,14,residential,30,0,1,1,0
2026-01-01,3,15,motorway,100,0,0,3,0
2026-01-01,3,15,trunk,80,0,0,2,0
2026-01-01,3,15,primary,60,0,0,2,0
2026-01-01,3,15,secondary,50,0,0,2,0
2026-01-01,3,15,residential,30,0,0,2,0
2026-01-01,3,16,motorway,100,1,0,3,0
2026-01-01,3,16,trunk,80,1,0,2,0
2026-01-01,3,16,primary,60,1,0,3,0
2026-01-01,3,16,secondary,50,1,0,3,0
2026-01-01,3,16,residential,30,1,0,3,0
2026-01-01,3,17,motorway,100,1,0,3,0
2026-01-01,3,17,trunk,80,1,0,3,0
2026-01-01,3,17,primary,60,1,0,2,0
2026-01-01,3,17,secondary,50,1,0,3,0
2026-01-01,3,17,residential,30,1,0,3,0
2026-01-01,3,18,motorway,100,1,0,3,0
2026-01-01,3,18,trunk,80,1,0,2,0
2026-01-01,3,18,primary,60,1,0,3,0
2026-01-01,3,18,secondary,50,1,0,2,0
2026-01-01,3,18,residential,30,1,0,2,0
2026-01-01,3,19,motorway,100,0,0,1,0
2026-01-01,3,19,trunk,80,0,0,3,0
2026-01-01,3,19,primary,60,0,0,1,0
2026-01-01,3,19,secondary,50,0,0,3,0
2026-01-01,3,19,residential,30,0,0,1,0
2026-01-01,3,20,motorway,100,0,0,3,0
2026-01-01,3,20,trunk,80,0,0,1,0
2026-01-01,3,20,primary,60,0,0,2,0
2026-01-01,3,20,secondary,50,0,0,2,0
2026-01-01,3,20,residential,30,0,0,2,0
2026-01-01,3,21,motorway,100,0,0,2,0
2026-01-01,3,21,trunk,80,0,0,2,0
